Timestamp,CarPitch,CarRoll,CarYaw,LatAccel,Ay,ForwardAccel,LinAccel,RGrad,ShockPot1,ShockPot2,GyX
1970-01-01 00:00:04.213,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.69,2.44,0.00
1970-01-01 00:00:04.278,0.00,0.00,0.00,-0.41,0.20,9.73,0.00,0.00,2.69,1.96,0.00
1970-01-01 00:00:04.348,0.00,0.00,0.00,-0.37,0.16,9.85,0.19,0.00,2.69,1.96,-0.02
1970-01-01 00:00:04.414,0.00,0.00,0.00,-0.45,0.20,9.93,-0.01,0.00,2.69,2.20,0.02
1970-01-01 00:00:04.480,0.00,0.00,0.00,-0.37,0.20,9.77,-0.01,0.00,2.69,2.20,0.00
1970-01-01 00:00:04.554,0.00,0.00,0.00,-0.34,0.16,9.89,-0.01,0.00,2.69,1.96,-0.02
1970-01-01 00:00:04.621,0.00,0.00,0.00,-0.37,0.20,9.81,-0.01,0.00,2.44,1.96,-0.05
1970-01-01 00:00:04.704,0.79,2.23,-166.01,-0.34,0.12,9.92,-0.01,-6.63,2.69,1.96,0.03
1970-01-01 00:00:04.770,0.79,2.23,-166.01,-0.34,0.12,9.80,-0.01,-6.63,2.44,1.96,0.02
1970-01-01 00:00:04.835,0.79,2.23,-166.01,-0.34,0.12,10.00,-0.01,-6.63,2.69,2.20,0.02
1970-01-01 00:00:04.905,0.93,2.23,-166.13,-0.34,0.24,9.85,-0.01,-6.63,2.69,2.20,0.01
1970-01-01 00:00:04.975,1.04,2.23,-166.14,-0.37,0.20,9.70,-0.01,-5.96,2.69,1.96,0.02
1970-01-01 00:00:05.044,0.91,2.20,-166.17,-0.53,0.09,9.85,-0.01,-4.17,2.69,1.96,-0.02
1970-01-01 00:00:05.114,-0.46,2.57,-166.12,-0.49,-0.22,9.58,-0.01,-5.23,2.69,2.20,-0.40
1970-01-01 00:00:05.184,-3.66,3.20,-166.07,-0.68,-0.72,9.54,-0.01,-4.68,2.69,2.20,-0.82
1970-01-01 00:00:05.264,-7.12,3.09,-166.06,-0.45,-1.52,10.00,0.23,-6.81,2.69,2.20,0.07
1970-01-01 00:00:05.334,-11.08,1.95,-166.10,-0.18,-1.91,9.70,0.23,-10.61,2.69,1.96,-0.82
1970-01-01 00:00:05.403,-13.00,1.23,-166.12,-0.11,-2.25,9.70,0.23,-11.29,2.69,1.96,-0.51
1970-01-01 00:00:05.475,-13.84,1.52,-166.16,-0.41,-2.33,9.46,0.23,-3.67,2.69,2.20,-0.27
1970-01-01 00:00:05.544,-14.85,1.68,-166.25,-0.18,-2.60,9.77,0.23,-9.15,2.69,1.96,-0.27
1970-01-01 00:00:05.614,-14.85,1.68,-166.25,0.05,-3.25,9.89,-0.17,35.86,2.69,1.96,-0.02
1970-01-01 00:00:05.685,-19.26,0.17,-165.99,-0.14,-3.32,9.28,-0.17,-1.15,2.69,1.96,-0.70
1970-01-01 00:00:05.753,-21.80,-0.23,-165.64,-0.03,-3.48,8.66,-0.17,7.28,2.69,1.96,-0.63
1970-01-01 00:00:05.822,-21.80,-0.23,-165.64,0.08,-4.21,8.66,-0.17,-2.77,2.69,1.96,-1.24
1970-01-01 00:00:05.890,-21.80,-0.23,-165.64,0.70,-5.05,8.74,-0.17,-0.33,2.69,1.96,-0.92
1970-01-01 00:00:05.955,-21.80,-0.23,-165.64,0.62,-5.43,8.43,-0.17,-0.37,2.69,1.96,-0.44
1970-01-01 00:00:06.025,-34.76,-4.05,-165.25,0.54,-5.62,8.31,-0.17,-7.45,2.69,1.96,-0.34
1970-01-01 00:00:06.094,-35.49,-4.30,-165.16,1.00,-5.66,6.94,-0.17,-4.28,2.69,1.96,-0.15
1970-01-01 00:00:06.164,-36.51,-4.41,-165.74,0.50,-5.43,7.71,-0.17,-8.74,2.69,1.96,-0.40
1970-01-01 00:00:06.235,-37.49,-3.70,-166.60,0.12,-5.97,7.82,-0.17,-30.58,2.69,2.20,-0.27
1970-01-01 00:00:06.304,-39.02,-3.24,-166.40,0.47,-6.04,7.71,-0.17,-6.91,2.69,1.96,-0.45
