Timestamp,CarRoll,CarPitch,CarYaw,RollGrad,ax,ay,az,ForwardAccel,LateralAccel,HeaveAccel,PitchRate,RollRate,YawRate,qw,qx,qy,qz,ShockPot1,ShockPot2
1970-01-01 00:00:04.369,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.69,2.44
1970-01-01 00:00:04.480,0.00,0.00,0.00,0.00,9.84,0.45,-0.80,0.04,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.69,2.20
1970-01-01 00:00:04.600,-38.13,-86.20,122.92,-190.24,9.92,0.45,-0.88,0.04,0.45,0.05,0.45,0.45,1.90,0.53,0.45,-0.52,0.50,2.69,1.96
1970-01-01 00:00:04.702,-38.13,-86.20,122.92,-142.37,9.89,0.61,-0.80,0.00,0.61,0.05,0.34,-0.78,0.56,0.53,0.45,-0.52,0.50,2.69,1.96
1970-01-01 00:00:04.809,-38.13,-86.20,122.92,-163.47,9.77,0.53,-0.95,-0.03,0.53,-0.11,0.22,0.22,-1.01,0.53,0.45,-0.52,0.50,2.69,1.96
1970-01-01 00:00:04.920,-38.13,-86.20,122.92,-163.47,9.89,0.53,-0.88,0.04,0.53,0.04,0.00,0.78,-0.90,0.53,0.45,-0.52,0.50,2.69,1.96
1970-01-01 00:00:05.020,-35.88,-86.10,120.71,-142.21,9.93,0.61,-0.84,0.08,0.61,0.05,0.22,-0.45,-0.34,0.53,0.45,-0.52,0.50,2.69,1.96
1970-01-01 00:00:05.130,-35.88,-86.10,120.71,-125.95,9.77,0.68,-0.95,-0.07,0.68,-0.07,0.11,0.00,1.01,0.53,0.45,-0.52,0.50,2.69,1.96
1970-01-01 00:00:05.230,-34.50,-85.97,119.29,-125.76,9.77,0.68,-0.91,-0.07,0.68,-0.07,-0.45,0.78,2.01,0.53,0.45,-0.52,0.50,2.69,1.96
1970-01-01 00:00:05.340,-33.67,-85.89,118.38,-133.26,9.80,0.64,-0.88,-0.07,0.64,-0.07,-0.34,0.67,1.12,0.53,0.45,-0.52,0.50,2.69,1.96
1970-01-01 00:00:05.440,-33.67,-85.89,118.38,-141.86,9.88,0.61,-0.88,0.01,0.61,-0.04,-0.45,0.45,0.34,0.53,0.45,-0.52,0.50,2.69,1.96
1970-01-01 00:00:05.550,-33.67,-85.89,118.38,-151.64,9.73,0.57,-1.03,-0.11,0.57,-0.06,-0.45,0.78,1.12,0.53,0.45,-0.52,0.50,2.69,1.96
1970-01-01 00:00:05.671,-33.67,-85.89,118.38,-162.88,9.89,0.53,-0.91,0.02,0.53,0.05,0.22,0.11,-1.79,0.53,0.45,-0.52,0.50,2.69,1.96
1970-01-01 00:00:05.781,-34.61,-86.11,119.15,-174.96,9.85,0.49,-0.91,0.05,0.49,0.02,0.22,-0.11,-0.78,0.53,0.45,-0.52,0.50,2.69,1.96
1970-01-01 00:00:05.881,-34.86,-86.14,119.39,-163.35,9.89,0.53,-0.91,0.05,0.53,0.02,-0.45,-0.22,-0.22,0.53,0.45,-0.52,0.50,2.69,1.96
1970-01-01 00:00:05.990,-34.86,-86.14,119.39,-163.35,9.84,0.53,-0.95,0.05,0.53,0.03,-0.34,1.12,-1.34,0.53,0.45,-0.52,0.50,2.69,1.96
1970-01-01 00:00:06.101,-34.86,-86.14,119.39,-175.01,9.88,0.49,-0.95,0.00,0.49,0.03,-0.34,1.57,-2.91,0.53,0.45,-0.52,0.50,2.69,2.20
1970-01-01 00:00:06.209,-34.55,-86.63,118.90,-209.22,9.80,0.41,-0.84,-0.11,0.41,0.00,-3.02,2.46,-3.69,0.53,0.45,-0.52,0.49,2.69,1.96
1970-01-01 00:00:06.310,-35.28,-87.52,119.31,-334.42,9.77,0.26,-1.14,-0.11,0.26,0.00,-6.71,1.45,-13.09,0.53,0.46,-0.52,0.49,2.69,1.96
1970-01-01 00:00:06.421,-35.28,-87.52,119.31,-334.42,10.11,0.26,-1.14,0.32,0.26,0.02,-0.11,14.88,-14.55,0.53,0.46,-0.52,0.49,2.69,1.96
1970-01-01 00:00:06.521,-35.28,-87.52,119.31,-1244.79,9.85,0.07,-1.14,-0.00,0.07,0.28,1.68,11.30,-9.29,0.53,0.46,-0.52,0.49,2.69,1.96
